0.0,2255.5,2101.0,2255.9,1923.1,1222.4,1045.2,934.0,1723.9,692.2,824.0,1109.9,1130.3,963.9,981.3,896.5,1189.4,1997.3,786.7,598.7,1066.2,1653.9,1593.9,1520.4,1295.3,504.4,1064.9,867.1,645.2,5804.5,599.8,3110.6,2253.1,2222.4,2391.8,2050.9,1969.1,3276.3,3840.0,3178.1,3140.4,435.1,742.6,1422.7,1727.2,1419.7,2422.5,4537.1,1667.5,1160.6,1213.1,3179.5,1653.7,667.1,1592.5,590.2,809.5,713.3,857.7,865.0,1775.8,1549.4,1086.4,3665.3,3713.5,3711.4,3748.0
1953.3,0.0,388.3,175.2,332.4,2707.5,2530.3,2419.1,3209.0,2645.5,2777.3,3063.2,3083.6,2917.2,2934.5,2849.8,3142.7,522.4,2740.0,2552.0,3019.5,3139.0,3079.0,3005.5,2780.4,2457.7,3018.1,2820.4,2130.3,7289.6,2553.0,4595.7,237.1,130.5,311.1,1446.2,583.9,4761.4,5325.1,4663.2,4625.5,1990.9,1336.6,656.5,528.3,2904.8,790.4,6490.4,3152.6,2645.7,3166.3,5132.7,3138.8,2932.8,3077.6,2075.3,2294.6,2666.6,2810.9,2818.3,3260.8,851.0,1263.0,5150.4,5198.6,5196.5,5233.1
1722.4,452.2,0.0,627.4,502.3,2476.6,2299.4,2188.2,2978.1,2414.6,2546.4,2832.3,2852.7,2686.3,2703.6,2618.9,2911.8,576.6,2509.1,2321.1,2788.6,2908.1,2848.1,2774.6,2549.5,2226.8,2787.3,2589.5,1899.4,7058.7,2322.1,4364.8,689.3,582.7,763.3,1488.7,195.5,4530.5,5094.2,4432.3,4394.6,1760.0,1379.1,699.0,306.4,2673.9,402.1,6259.5,2921.7,2414.8,2935.4,4901.8,2908.0,2701.9,2846.7,1844.5,2063.7,2435.7,2580.0,2587.4,3030.0,893.5,874.7,4919.5,4967.7,4965.6,5002.2
1953.7,175.2,563.6,0.0,332.8,2707.9,2530.7,2419.5,3209.5,2645.9,2777.7,3063.6,3084.0,2917.6,2935.0,2850.2,3143.1,522.8,2740.4,2552.4,3019.9,3139.4,3079.4,3006.0,2780.8,2458.1,3018.6,2820.8,2130.7,7290.0,2553.4,4596.2,130.5,44.8,135.9,1446.6,779.7,4761.8,5325.6,4663.6,4625.9,1991.3,1337.1,657.0,528.7,2905.2,965.6,6490.8,3153.0,2646.1,3166.8,5133.2,3139.3,2933.2,3078.0,2075.8,2295.0,2667.0,2811.3,2818.7,3261.3,851.4,1438.2,5150.9,5199.0,5196.9,5233.6
1620.9,332.4,578.8,332.8,0.0,2375.1,2197.9,2086.7,2876.7,2313.1,2444.9,2730.8,2751.2,2584.8,2602.2,2517.4,2810.3,190.0,2407.6,2219.6,2687.1,2806.6,2746.6,2673.2,2448.0,2125.3,2685.8,2488.0,1797.9,6957.2,2220.7,4263.4,330.0,299.3,468.6,1113.8,446.9,4429.1,4992.8,4330.8,4293.1,1658.5,1004.3,324.2,196.0,2572.4,900.3,6158.0,2820.2,2313.3,2834.0,4800.4,2806.5,2600.4,2745.2,1743.0,1962.2,2334.2,2478.6,2485.9,2928.5,518.6,1660.5,4818.1,4866.3,4864.1,4900.8
1315.4,2733.3,2578.8,2733.7,2401.0,0.0,185.1,432.4,1222.4,930.9,1062.7,1348.6,812.3,819.0,836.4,751.7,1044.5,2475.2,641.8,416.5,748.2,1152.3,1092.3,1455.8,1315.3,743.1,920.0,722.2,591.9,5302.9,415.4,3588.5,2731.0,2700.2,2869.6,2607.2,2447.0,2908.2,3471.9,2809.9,2772.2,991.4,1299.0,2597.7,2205.0,918.1,2900.4,4486.0,1165.9,148.8,895.1,3128.4,1152.2,619.7,1090.9,1068.1,587.2,382.2,539.6,547.0,1274.2,2792.1,1564.2,3297.2,3345.4,3343.2,3379.9
1138.2,2556.1,2401.6,2556.5,2223.7,185.1,0.0,255.2,1045.1,1120.4,1252.2,1538.1,997.4,1008.5,1025.8,941.1,1234.0,2297.9,831.3,643.2,933.3,975.1,915.1,1278.6,1138.0,932.6,1109.4,911.7,414.7,5125.7,644.3,3411.2,2553.7,2523.0,2692.4,3189.1,2269.7,2730.9,3294.6,2632.7,2595.0,1573.3,1880.8,2420.4,2027.8,740.9,2723.1,4675.5,988.6,238.9,1080.2,3317.8,974.9,622.3,913.7,890.8,409.9,567.3,724.8,732.1,1096.9,2614.8,1387.0,3119.9,3168.1,3166.0,3202.6
1012.3,2430.2,2275.7,2430.6,2097.9,437.4,260.2,0.0,789.9,1160.8,1292.6,1578.5,1215.3,1048.9,1066.2,981.5,1274.4,2172.1,871.7,683.6,1151.2,719.9,659.9,701.6,476.5,973.0,1149.8,952.1,288.8,4870.5,684.7,3285.4,2427.9,2397.1,2566.5,3063.2,2143.9,2153.9,2717.6,2055.7,2017.9,1447.4,1755.0,2294.6,1901.9,485.7,2597.3,4715.9,733.5,375.6,1298.0,3358.3,719.7,662.7,658.5,765.0,284.1,798.3,942.6,950.0,841.8,2489.0,1261.1,2542.9,2591.1,2589.0,2625.6
1764.9,3182.7,3028.3,3183.2,2850.4,1190.0,1012.7,752.5,0.0,1913.3,2045.1,2331.0,1967.8,1801.4,1818.8,1734.0,2026.9,2924.6,1624.2,1436.2,1903.7,70.0,795.7,1159.3,1018.7,1725.5,1902.4,1704.6,1041.4,4974.1,1437.2,4037.9,3180.4,3149.7,3319.0,3815.7,2896.4,2611.6,3175.3,2513.4,2475.6,2199.9,2507.5,3047.1,2654.4,304.2,3349.8,5468.4,869.3,1128.2,2050.6,4110.8,70.2,1415.3,794.4,1517.5,1036.6,1550.8,1695.1,1702.5,977.6,3241.5,2013.6,3000.6,3048.8,3046.6,3083.3
660.6,2916.1,2761.6,2916.5,2583.7,1117.8,1120.4,1155.8,1945.7,0.0,275.4,561.2,1046.0,879.7,897.0,812.3,1105.2,2658.0,702.5,514.4,982.0,1875.6,1815.6,2179.2,1955.9,187.8,980.6,782.9,1305.8,5431.2,515.5,3771.3,2913.8,2883.0,3052.4,2284.2,2629.8,3936.9,4500.7,3838.7,3801.0,668.4,976.0,1656.1,2387.8,1641.5,3083.1,4770.5,1889.2,1056.0,1128.8,3412.8,1875.5,582.8,1814.3,1250.9,1470.1,629.0,773.4,780.8,1997.5,1782.7,1747.0,4326.0,4374.1,4372.0,4408.6
