0.0,4278.5,958.2,3712.1,1356.8,2023.5,2261.9,1356.8,2021.2,3468.5,1508.3
4278.5,0.0,2843.2,3059.1,3388.2,4054.9,3085.5,3388.2,4052.6,810.0,3539.7
958.2,2843.2,0.0,2753.9,2315.0,2981.7,1303.7,2315.0,2979.4,4426.7,2466.5
3712.1,3059.1,2753.9,0.0,5068.9,5735.6,2996.1,5068.9,5733.3,3869.1,5220.4
1356.8,3388.2,2315.0,5068.9,0.0,835.6,3618.7,0.0,833.3,2578.2,187.9
2023.5,4054.9,2981.7,5735.6,835.6,0.0,4285.4,835.6,2.3,3244.9,987.1
2261.9,3085.5,1303.7,2996.1,3618.7,4285.4,0.0,3618.7,4283.1,5730.4,3770.2
1356.8,3388.2,2315.0,5068.9,0.0,835.6,3618.7,0.0,833.3,2578.2,187.9
2021.2,4052.6,2979.4,5733.3,833.3,2.3,4283.1,833.3,0.0,3242.6,984.8
3468.5,810.0,4426.7,3869.1,2578.2,3244.9,5730.4,2578.2,3242.6,0.0,2729.7
1508.3,3539.7,2466.5,5220.4,187.9,987.1,3770.2,187.9,984.8,2729.7,0.0
