0.0,637.9,1492.1,863.7,222.9,637.9,618.4,106.3,920.5,1172.6,857.3,981.3,1103.4,858.7,824.7,473.7,476.5,211.8,201.5,466.1,11668.4,4797.5,6337.5,521.8,686.8,812.8,584.0
665.0,0.0,1032.8,404.4,459.6,0.0,159.0,771.3,2223.6,713.3,397.9,522.0,644.1,399.3,450.0,500.3,503.1,669.0,866.4,363.4,11209.0,6100.6,7640.6,548.4,227.5,438.1,53.9
1512.2,1146.8,0.0,742.4,1427.8,1146.8,1017.4,1405.9,1208.5,936.2,1256.3,744.9,502.7,1257.7,1308.3,1468.5,1471.4,1637.3,1581.0,1331.7,12067.4,5085.5,6625.4,1516.7,919.3,1296.4,1092.9
890.8,404.4,628.4,0.0,685.4,404.4,275.0,997.1,1819.2,308.9,513.9,117.6,239.7,515.3,565.9,726.1,729.0,894.9,1092.3,589.3,11324.9,5696.3,7236.2,774.2,176.9,554.0,350.5
222.9,414.9,1269.2,640.8,0.0,414.9,395.5,329.3,1143.4,949.7,634.4,758.4,880.5,635.8,601.7,250.7,253.6,227.0,424.4,243.2,11445.4,5020.4,6560.4,298.9,463.9,589.8,361.0
665.0,0.0,1032.8,404.4,459.6,0.0,159.0,771.3,2223.6,713.3,397.9,522.0,644.1,399.3,450.0,500.3,503.1,669.0,866.4,363.4,11209.0,6100.6,7640.6,548.4,227.5,438.1,53.9
645.5,159.0,903.4,275.0,440.1,159.0,0.0,751.8,2094.2,583.9,238.9,392.6,514.7,240.3,290.9,480.8,483.7,649.6,847.0,344.0,11050.0,5971.2,7511.2,528.9,98.1,279.0,105.2
106.3,744.2,1536.0,970.0,329.3,744.2,724.7,0.0,814.2,1278.9,963.6,1087.7,1209.7,965.0,931.0,580.0,582.9,318.1,175.1,572.4,11774.7,4691.2,6231.1,628.1,793.2,919.1,690.3
920.5,2223.6,1338.5,1819.2,1143.4,2223.6,2094.2,814.2,0.0,2013.0,2333.1,1821.7,1579.5,2334.5,2385.1,2545.3,2548.2,1132.3,989.3,2408.5,13144.2,3905.0,5444.9,2593.5,1996.1,2373.2,2169.7
1199.7,713.3,822.2,308.9,994.3,713.3,583.9,1306.0,2013.0,0.0,822.8,191.3,433.5,824.2,874.8,1035.0,1037.9,1203.8,1401.2,898.2,11633.9,5890.0,7430.0,1083.1,485.8,862.9,659.4
786.1,397.9,1142.3,513.9,580.7,397.9,238.9,892.4,2333.1,822.8,0.0,631.5,753.6,1.4,306.6,621.4,624.2,790.2,987.5,484.6,10811.1,6210.1,7750.1,669.5,337.0,294.6,344.1
1008.4,522.0,630.9,117.6,803.0,522.0,392.6,1114.8,1821.7,191.3,631.5,0.0,242.2,632.9,683.5,843.7,846.6,1012.5,1209.9,706.9,11442.6,5698.7,7238.7,891.9,294.5,671.6,468.1
1130.5,644.1,388.7,239.7,925.1,644.1,514.7,1777.0,1579.5,433.5,753.6,242.2,0.0,755.0,805.6,965.8,968.7,1134.6,1952.1,829.0,11564.7,5456.5,6996.5,1013.9,416.6,793.7,590.2
787.5,399.3,1143.7,515.3,582.1,399.3,240.3,893.8,2334.5,824.2,1.4,632.9,755.0,0.0,308.0,622.8,625.6,791.5,988.9,486.0,10809.7,6211.5,7751.5,670.9,338.4,296.0,345.5
879.7,453.8,1235.9,607.5,674.3,453.8,332.5,986.0,2426.7,916.4,256.7,725.1,847.2,258.0,0.0,715.0,717.8,883.8,1081.1,578.2,11067.7,6303.7,7843.7,763.1,430.6,70.6,400.0
222.9,500.3,1354.5,726.1,193.6,500.3,480.8,329.2,1143.4,1035.0,719.7,843.7,965.8,721.1,687.1,0.0,2.9,227.0,424.3,284.7,11530.8,5020.4,6560.3,106.3,549.2,675.1,446.4
225.8,503.1,1357.4,729.0,196.4,503.1,483.7,332.1,1146.2,1037.9,722.6,846.6,968.7,724.0,689.9,2.9,0.0,229.8,427.2,287.5,11533.6,5023.3,6563.2,109.2,552.1,678.0,449.2
333.1,596.2,1450.4,822.0,181.3,596.2,576.7,439.4,1253.6,1130.9,815.6,939.7,1061.7,817.0,783.0,432.0,434.9,0.0,534.5,424.4,11626.7,5130.6,6670.5,480.1,645.2,771.1,542.3
201.5,839.3,1693.6,1065.2,424.4,839.3,819.9,175.1,989.3,1374.1,1058.8,1182.8,1304.9,1060.1,1026.1,675.1,678.0,413.3,0.0,667.6,11869.8,4866.3,6406.3,723.3,888.3,1014.2,785.4
452.1,363.4,1217.7,589.3,243.2,363.4,344.0,558.4,2408.5,898.2,582.9,706.9,829.0,584.3,550.3,287.4,290.3,456.2,653.6,0.0,11394.0,6285.6,7825.5,335.5,412.4,538.3,309.6
7496.1,8799.2,7914.1,8394.9,7719.0,8799.2,8669.8,7389.8,6603.6,8588.6,8908.7,8397.3,8155.1,8910.1,8960.8,9121.0,9123.8,7707.9,7564.9,8984.2,0.0,3711.3,5251.3,9169.1,8571.7,8948.9,8745.3
4830.8,6133.9,5248.8,5729.5,5053.7,6133.9,6004.5,4724.5,3938.3,5923.3,6243.4,5732.0,5489.8,6244.8,6295.4,6455.6,6458.5,5042.6,4899.6,6318.8,14550.7,0.0,1539.9,6503.8,5906.4,6283.5,6080.0
6405.1,7708.2,6823.1,7303.9,6628.0,7708.2,7578.8,6298.8,5512.6,7497.6,7817.7,7306.3,7064.1,7819.1,7869.8,8030.0,8032.8,6616.9,6473.9,7893.2,16125.0,1574.3,0.0,8078.1,7480.7,7857.9,7654.3
