0.0,283.0,265.4,721.3,241.3,709.3,713.8,280.5,248.3,349.8,246.5,21.5,348.9,372.8,372.8,1092.2,472.9,17.5,1234.7,903.3,559.0
283.0,0.0,548.3,1004.3,524.3,992.3,996.8,2.5,170.6,272.1,168.9,304.4,271.3,655.7,655.7,1014.5,531.6,300.4,1517.7,1186.3,628.3
265.4,548.3,0.0,478.4,24.1,466.3,470.9,545.9,513.6,615.1,511.9,243.9,614.3,152.0,152.0,1357.5,738.2,247.9,991.7,660.4,824.4
885.3,929.7,642.3,0.0,644.0,453.4,457.9,927.2,895.0,996.5,893.2,863.8,995.6,772.0,772.0,1626.3,1114.0,867.8,672.8,182.0,850.5
241.3,524.3,24.1,480.1,0.0,468.0,472.6,521.8,489.6,591.1,487.8,219.8,590.2,131.5,131.5,1333.5,714.1,223.8,993.4,662.1,800.3
431.9,714.9,188.9,547.6,190.6,0.0,4.6,712.4,680.2,781.7,678.5,410.4,780.9,318.6,318.6,1524.1,904.8,414.5,1061.0,729.6,991.0
427.4,710.3,184.4,543.0,186.1,531.0,0.0,707.9,675.7,777.1,673.9,405.9,776.3,314.0,314.0,1519.5,900.2,409.9,1056.4,725.0,986.4
280.5,2.5,545.9,1001.9,521.8,989.8,994.4,0.0,168.2,269.7,166.4,302.0,268.8,653.3,653.3,1012.1,529.1,298.0,1515.2,1183.9,625.9
241.2,163.5,506.5,962.5,482.4,950.4,955.0,161.0,0.0,101.5,1.8,262.6,100.6,613.9,613.9,843.9,489.8,258.6,1475.9,1144.5,586.5
342.6,265.0,608.0,1064.0,583.9,1051.9,1056.5,262.5,101.5,0.0,103.2,364.1,0.8,715.4,715.4,804.8,591.3,360.1,1577.4,1246.0,421.4
239.4,161.7,504.8,960.8,480.7,948.7,953.2,159.3,1.8,103.2,0.0,260.9,102.4,612.2,612.2,845.6,488.0,256.9,1474.1,1142.7,584.8
21.5,304.4,243.9,699.9,219.8,687.8,692.4,302.0,269.8,371.2,268.0,0.0,370.4,351.3,351.3,1113.7,494.3,4.0,1213.2,881.9,580.5
341.8,264.1,607.2,1063.2,583.1,1051.1,1055.6,261.7,100.6,0.8,102.4,363.3,0.0,714.6,714.6,803.9,590.4,359.3,1576.5,1245.1,420.6
260.3,543.3,181.8,637.8,157.7,625.7,630.3,540.8,508.6,610.1,506.9,238.8,609.3,0.0,0.0,1352.5,733.2,242.9,1151.1,819.7,819.4
260.3,543.3,181.8,637.8,157.7,625.7,630.3,540.8,508.6,610.1,506.9,238.8,609.3,0.0,0.0,1352.5,733.2,242.9,1151.1,819.7,819.4
868.4,790.7,1133.7,1589.7,1109.7,1577.7,1582.2,788.3,627.2,588.1,629.0,889.9,587.3,1241.2,1241.2,0.0,1117.0,885.9,2103.1,1771.7,727.2
576.5,498.8,841.9,1114.0,817.8,882.0,886.5,496.4,373.7,475.2,371.9,598.0,474.3,949.3,949.3,1217.6,0.0,594.0,1627.4,1296.0,921.9
17.5,300.4,247.9,703.9,223.8,691.8,696.4,298.0,265.8,367.2,264.0,4.0,366.4,355.3,355.3,1109.6,490.3,0.0,1217.3,885.9,576.5
1398.7,1443.1,1155.7,672.8,1157.4,966.8,971.3,1440.6,1408.4,1509.9,1406.6,1377.2,1509.0,1285.3,1285.3,2139.6,1627.4,1381.2,0.0,854.8,1363.9
1067.3,1111.7,824.3,182.0,826.0,635.4,639.9,1109.2,1077.0,1178.5,1075.2,1045.8,1177.6,953.9,953.9,1808.2,1296.0,1049.8,854.8,0.0,1032.5
573.4,495.8,838.8,888.8,814.7,1182.7,1187.3,493.3,332.3,293.1,334.0,594.9,292.3,946.2,946.2,1039.3,822.0,590.9,1402.1,1070.8,0.0
