0.0,476.1,472.3,1650.4,1146.0,446.2,1123.6,1293.4,1456.6,1483.4,1607.5,378.6,1423.2,476.8,2316.1,1496.3
538.2,0.0,111.9,1289.9,1227.8,527.9,763.1,1375.1,1096.2,1565.2,1247.1,460.4,1062.8,0.7,1955.6,1135.9
426.3,75.7,0.0,1249.9,1115.9,416.0,723.1,1263.2,1056.2,1453.3,1207.0,348.5,1022.8,76.3,1915.6,1095.9
857.2,506.6,430.9,0.0,1546.8,847.0,517.8,1694.2,327.4,1884.2,42.9,779.4,1276.4,507.3,2169.2,374.3
1159.6,1179.3,1175.5,2353.5,0.0,854.9,1826.7,147.3,2159.8,337.4,2310.6,909.3,2126.4,1179.9,3019.2,2199.5
446.2,465.9,462.1,1640.1,916.9,0.0,1113.3,1064.2,1446.4,1254.3,1597.2,298.8,1412.9,466.5,2305.8,1486.1
1040.0,689.4,613.7,526.8,1729.6,1029.8,0.0,1877.0,333.0,2067.0,483.9,962.2,758.6,690.1,1651.5,372.7
1306.9,1326.6,1322.8,2500.8,147.3,1002.2,1974.1,0.0,2307.1,190.1,2458.0,1056.6,2273.7,1327.3,3166.5,2346.8
943.4,592.8,517.1,327.4,1633.0,933.1,338.9,1780.3,0.0,1970.4,284.5,865.6,1097.5,593.5,1990.4,46.9
1850.5,1870.1,1866.3,3044.4,690.9,1545.8,2517.6,543.6,2850.6,0.0,3001.5,1600.1,2817.2,1870.8,3710.1,2890.3
814.4,463.7,388.1,42.9,1504.0,804.1,474.9,1651.3,284.5,1841.4,0.0,736.6,1233.5,464.4,2126.4,331.4
378.6,398.3,394.5,1572.6,895.7,282.5,1045.8,1043.1,1378.8,1233.1,1529.7,0.0,1345.4,399.0,2238.3,1418.5
1418.3,1067.7,992.0,1327.1,2107.9,1408.1,800.4,2255.3,1133.4,2445.3,1284.3,1340.5,0.0,1068.4,987.1,1173.1
537.5,50.8,111.2,1289.2,1227.1,527.2,762.5,1374.4,1095.5,1564.5,1246.4,459.7,1062.1,0.0,1954.9,1135.2
2325.0,1974.4,1898.7,2233.8,3014.6,2314.7,1707.0,3161.9,2040.1,3352.0,2190.9,2247.2,1000.9,1975.1,0.0,2079.8
990.3,639.7,564.0,374.3,1679.9,980.0,378.7,1827.2,46.9,2017.3,331.4,912.5,1137.2,640.4,2030.1,0.0
