1057.9,5731.8,1907.8,488.0,158.2,2160.5,1918.3,1387.8,1125.2,1167.7,1506.8,1676.0,2074.3,2052.3,1441.6,1673.2,1905.4,485.5,0.0,2158.4,1507.0,2404.8,1387.4,2331.9,1298.9,1668.0,1623.8,673.3,4357.6,381.6,1444.6,4985.0,380.9
2045.6,7669.1,3845.1,2425.3,2095.5,2.1,323.0,770.6,1094.0,1178.6,1001.7,531.4,1298.2,1023.2,1715.2,534.2,3842.7,2422.8,2204.8,0.0,1001.9,246.4,770.9,173.5,859.5,891.9,2186.8,1485.1,6294.9,2586.4,926.4,6922.2,2585.7
1336.9,6960.4,3136.4,1716.6,1386.8,1244.4,1002.2,471.7,235.7,275.3,-0.2,759.9,1158.2,1136.2,811.8,757.1,3134.1,1714.1,1496.1,1242.3,0.0,1488.7,471.4,1415.8,382.8,751.9,1283.5,776.4,5586.2,1877.7,528.6,6213.6,1877.0
2292.0,7915.5,4091.5,2671.7,2341.9,244.3,569.4,1017.0,1340.4,1425.1,1248.1,777.8,1544.6,1269.6,1961.6,780.7,4089.2,2669.2,2451.3,246.4,1248.3,0.0,1017.4,197.3,1105.9,1138.3,2433.2,1731.5,6541.3,2832.8,1172.9,7168.7,2832.1
1274.7,6898.1,3074.1,1654.4,1324.6,773.0,530.9,0.4,323.1,407.7,230.7,608.1,686.9,664.8,944.2,605.3,3071.8,1651.9,1433.9,770.9,230.9,1017.4,0.0,944.5,88.5,280.6,1415.9,714.1,5524.0,1815.5,223.5,6151.3,1814.8
2219.1,7842.6,4018.6,2598.9,2269.0,171.4,496.5,944.1,1267.5,1352.2,1175.2,704.9,1471.7,1196.7,1888.7,707.8,4016.3,2596.3,2378.4,173.5,1175.4,197.3,944.5,0.0,1033.0,1065.4,2360.4,1658.6,6468.5,2759.9,1100.0,7095.8,2759.2
1186.2,6809.6,2985.6,1565.9,1236.0,861.6,619.4,88.9,234.5,319.2,207.9,519.6,775.4,753.4,855.7,516.8,2983.3,1563.3,1345.4,859.5,208.1,1105.9,88.5,1033.0,0.0,369.1,1327.4,625.6,5435.5,1726.9,312.0,6062.8,1726.2
1555.2,7178.7,3354.7,1934.9,1605.1,894.0,651.8,280.2,603.6,688.3,511.3,811.3,406.3,785.8,1224.8,808.5,3352.4,1932.4,1714.5,891.9,511.5,1138.3,280.6,1065.4,369.1,0.0,1696.4,994.7,5804.6,2096.0,436.1,6431.9,2095.3
1529.7,7153.1,3329.1,1909.4,1579.5,2169.3,1927.1,1396.7,1160.6,1005.9,1515.7,1684.8,2083.2,2061.1,852.3,1682.0,3326.8,1906.8,1688.9,2167.2,1515.9,2413.6,1396.3,2340.7,1307.8,1676.8,0.0,1068.3,5779.0,1405.1,1453.5,6406.3,1405.8
560.5,6184.0,2360.0,940.2,610.4,1487.2,1245.0,714.5,451.9,494.4,833.5,1002.7,1401.0,1379.0,896.4,999.9,2357.7,937.7,719.8,1485.1,833.7,1731.5,714.1,1658.6,625.6,994.7,1078.6,0.0,4809.9,1101.3,771.4,5437.2,1100.6
5203.3,2725.7,2450.5,3870.2,4303.6,6305.9,6063.7,5533.2,5270.6,5313.1,5652.2,5821.4,6219.7,6197.7,5587.0,5818.6,2452.8,3872.8,4339.5,6303.8,5652.4,6550.2,5532.8,6477.3,5444.3,5813.4,5769.2,4818.7,0.0,4113.7,5590.1,3566.4,4114.5
1439.5,5564.3,1740.3,525.3,539.8,2542.0,2299.9,1769.4,1506.8,1549.3,1888.4,2057.6,2455.9,2433.8,1823.2,2054.7,1738.0,527.8,381.6,2539.9,1888.6,2786.4,1769.0,2713.5,1680.5,2049.6,1405.1,1054.9,4190.2,0.0,1826.2,4817.5,0.7
1331.9,6955.4,3131.4,1711.6,1381.8,928.6,686.4,223.1,380.3,464.9,454.2,375.2,842.4,820.4,1001.4,372.4,3129.0,1709.1,1491.1,926.4,454.4,1172.9,223.5,1100.0,312.0,436.1,1473.1,771.4,5581.2,1872.7,0.0,6208.5,1872.0
5847.0,840.7,3094.2,4514.0,4947.3,6949.6,6707.4,6176.9,5914.4,5956.8,6296.0,6465.1,6863.4,6841.4,6230.7,6462.3,3096.6,4516.5,4983.3,6947.5,6296.2,7193.9,6176.6,7121.0,6088.0,6457.1,6412.9,5462.4,3621.1,4757.5,6233.8,0.0,4758.2
1438.8,5565.0,1741.0,526.0,539.1,2541.3,2299.2,1768.7,1506.1,1548.6,1887.7,2056.9,2455.2,2433.1,1822.5,2054.0,1738.7,528.5,380.9,2539.2,1887.9,2785.6,1768.3,2712.8,1679.8,2048.8,1405.8,1054.2,4190.9,0.7,1825.5,4818.2,0.0
