0.0,890.7,1379.9,1417.0,1262.9,2032.6,1973.8,899.7,2424.6,3114.7,1703.8,892.6,988.9,1136.8,14059.8,4788.9,1211.4,1109.8,1503.4,1110.4,5420.9,1803.4,1222.2,1059.2,1054.3,1297.8,2732.2,2073.9,2384.1,2200.5,3459.4,1308.1,2328.4,1697.3,4016.4,3706.2,1550.2,855.6,7235.9
1399.4,0.0,485.7,522.8,368.7,1138.4,1079.6,854.2,1530.5,2220.5,2452.8,1.9,1737.9,242.6,14808.8,5328.4,317.2,215.6,609.2,2122.2,6169.9,909.2,328.1,250.9,246.1,2046.8,2278.4,1179.8,1490.0,2740.0,4208.4,413.9,3077.4,1117.2,3122.2,4245.7,2089.7,1967.3,6341.8
913.7,944.5,0.0,37.0,1316.7,2086.4,2027.6,368.4,2478.4,3168.5,2397.8,946.4,1682.9,1190.6,14753.7,4842.7,1265.2,1163.6,1557.2,2067.1,6114.9,1857.2,1276.0,1113.0,1108.1,1991.8,2786.0,2127.7,2437.9,2254.3,4153.4,1361.9,3022.4,1751.1,4070.2,3760.0,1604.0,1912.3,7289.7
876.6,907.5,1396.7,0.0,1279.6,2049.3,1990.5,331.4,2441.4,3131.4,2360.7,909.3,1645.8,1153.5,14716.7,4805.6,1228.2,1126.6,1520.1,2030.1,6077.8,1820.2,1239.0,1075.9,1071.0,1954.7,2749.0,2090.7,2400.9,2217.2,4116.3,1324.8,2985.3,1714.1,4033.1,3722.9,1566.9,1875.2,7252.7
1342.6,859.9,428.9,466.0,0.0,1167.5,1108.7,797.4,1559.6,2249.6,2396.0,861.8,1681.1,271.7,14751.9,5271.6,346.4,244.8,638.3,2065.3,6113.1,938.4,168.2,194.1,189.2,1990.0,2307.5,1208.9,1519.1,2683.2,4151.6,45.2,3020.6,1146.4,3151.3,4188.9,2032.9,1910.5,6370.9
2145.3,1662.6,1231.6,1268.7,1114.6,0.0,58.8,1600.1,970.0,1660.0,3198.7,1664.5,2483.8,1074.4,15554.6,6074.3,1063.1,914.6,607.1,2868.0,6915.8,268.3,1073.9,996.8,991.9,2792.7,3110.2,619.3,929.5,3485.9,4954.3,1159.8,3823.3,1949.1,2561.7,4991.6,2835.6,2713.2,6167.2
2086.5,1603.8,1172.8,1209.9,1055.8,58.8,0.0,1541.3,911.2,1601.2,3139.9,1605.7,2425.0,1015.6,15495.9,6015.5,1004.3,855.9,548.3,2809.2,6857.0,209.5,1015.1,938.0,933.1,2733.9,3051.4,560.5,870.7,3427.1,4895.5,1101.0,3764.5,1890.3,2502.9,4932.8,2776.8,2654.4,6108.4
8213.5,7730.7,7299.8,7336.8,7182.7,6922.2,6863.4,0.0,7314.3,8004.4,9266.8,7732.6,8551.9,7142.6,21622.8,12142.4,7131.3,6982.8,7026.2,8936.2,12983.9,6693.1,7142.1,7065.0,7060.1,8860.8,9178.4,6963.6,7273.8,9554.1,11022.4,7227.9,9891.4,8017.2,8906.1,11059.8,8903.7,8781.3,6987.5
2498.3,2015.6,1584.6,1621.6,1467.6,930.9,872.1,1953.0,0.0,1028.2,3551.6,2017.4,2836.7,1427.4,15907.6,6427.2,1416.1,1267.6,1034.9,3221.0,7268.8,701.7,1426.9,1349.8,1344.9,3145.7,3463.2,350.7,297.6,3838.9,5307.3,1512.7,4176.3,2302.0,1929.9,5344.6,3188.5,3066.2,6520.2
3188.3,2705.6,2274.6,2311.7,2157.6,1620.9,1562.1,2643.1,1028.2,0.0,4241.7,2707.5,3526.8,2117.4,16597.7,7117.3,2106.1,1957.7,1724.9,3911.0,7958.8,1391.8,2117.0,2039.8,2034.9,3835.7,4153.3,1040.8,971.7,4528.9,5997.3,2202.8,4866.3,2992.1,1946.8,6034.6,3878.6,3756.2,7210.2
2671.7,2962.1,3394.9,3432.0,3277.9,4047.6,3988.8,2971.1,4439.7,5129.7,0.0,2964.0,1703.5,3151.8,13185.8,6860.3,3226.4,3124.8,3518.4,1284.1,3717.1,3818.4,3237.3,3074.2,3069.3,1860.2,4803.6,4088.9,4399.2,4271.9,1755.6,3323.1,1454.5,3768.7,6031.4,5777.6,3621.6,2544.9,9250.9
