0.0,2410.4,250.6,200.9,509.7,2543.9,1350.2,1357.8,478.2,1358.8,318.6,0.4
2410.4,0.0,2661.0,2611.3,2920.1,4954.2,1416.6,3768.1,2888.6,3769.2,2729.0,2410.0
250.6,2661.0,0.0,233.1,309.4,2484.2,1600.8,1298.1,278.0,1299.2,350.8,251.0
200.9,2611.3,233.1,0.0,492.2,2526.4,1551.1,1340.3,460.7,1341.4,117.7,201.3
509.7,2920.1,309.4,492.2,0.0,1806.5,1859.9,620.4,31.5,621.5,609.9,510.1
2543.9,4954.2,2116.0,2526.4,1806.5,0.0,3894.0,1186.1,1838.0,1185.0,2644.1,2544.3
1278.3,1416.6,1528.9,1479.2,1788.0,3822.2,0.0,2636.1,1756.5,2637.1,1596.9,1277.9
1357.8,3768.1,929.9,1340.3,620.4,1186.1,2708.0,0.0,651.9,-1.1,1458.0,1358.2
478.2,2888.6,278.0,460.7,31.5,1838.0,1828.4,651.9,0.0,653.0,578.5,478.6
1358.8,3769.2,930.9,1341.4,621.5,1185.0,2709.0,-1.1,653.0,0.0,1459.1,1359.2
318.6,2729.0,350.8,117.7,609.9,2644.1,1668.8,1458.0,578.5,1459.1,0.0,319.0
0.4,2410.0,251.0,201.3,510.1,2544.3,1349.8,1358.2,478.6,1359.2,319.0,0.0
