0.0,50.8,646.2,39.7,1733.6,210.0,1.8,342.8,651.1,1502.5
50.8,0.0,697.0,90.5,1682.8,260.8,49.0,292.0,600.4,1553.3
646.2,697.0,0.0,606.6,2379.8,530.5,648.0,989.0,1297.4,856.3
39.7,90.5,606.6,0.0,1773.3,170.3,41.5,382.5,690.8,1462.9
1752.9,1702.1,2399.1,1792.6,0.0,1962.9,1751.1,1241.6,1082.5,3255.4
156.9,207.7,530.5,117.2,1890.5,0.0,158.7,499.7,808.0,1386.8
1.8,49.0,648.0,41.5,1731.8,211.8,0.0,341.0,649.3,1504.3
316.9,266.1,963.2,356.6,1241.6,526.9,315.1,0.0,767.5,1819.5
670.4,619.6,1316.7,710.1,1082.5,880.4,668.6,746.5,0.0,2173.0
1502.5,1553.3,856.3,1462.9,3236.1,1386.8,1504.3,1845.3,2153.7,0.0
