0.0,580.8,663.6,949.9,645.2,362.7,865.6,1783.1,2156.4,692.8,826.8,568.9,389.4,423.4,597.4,452.6,877.7,1711.1,1809.3,742.1,587.1,553.2,1851.6,764.6,618.3,849.0
580.8,0.0,296.4,582.6,648.9,475.2,498.3,2165.1,2538.4,805.4,459.6,201.7,771.4,459.0,709.9,215.8,510.4,2093.1,2191.3,733.8,350.4,665.7,1482.3,531.3,251.0,481.8
663.6,272.4,0.0,286.2,352.6,558.1,273.8,2248.0,2621.3,665.4,163.2,94.7,854.2,361.7,395.3,477.9,214.1,2176.0,2274.1,995.9,612.4,525.7,1744.4,235.0,153.8,257.3
1014.7,681.6,409.2,0.0,426.5,822.3,683.0,2599.0,2972.3,739.4,123.0,503.9,1205.3,741.2,469.3,887.1,72.2,2527.0,2625.2,1405.0,1021.6,599.7,2153.6,308.9,563.0,666.5
588.2,700.7,544.3,692.0,0.0,395.7,818.1,2172.5,2545.8,312.8,569.0,639.0,778.7,314.7,276.8,572.5,619.8,2100.5,2198.7,1090.5,707.0,173.2,1971.5,444.1,698.1,801.6
362.7,475.2,558.1,844.3,452.8,0.0,760.0,1947.0,2320.3,500.4,721.3,463.4,553.2,230.9,404.9,347.0,772.1,1875.0,1973.2,865.0,481.6,360.7,1746.1,572.2,512.8,743.5
865.6,474.4,273.8,560.1,626.4,760.0,0.0,2449.9,2823.2,924.3,437.0,296.6,1056.2,563.7,669.1,679.9,487.9,2377.9,2476.1,1197.8,814.4,784.6,1946.4,508.8,355.7,16.5
1783.1,2165.1,2248.0,2534.2,2229.6,1947.0,2449.9,0.0,661.5,2277.2,2411.2,2153.3,1559.2,2007.7,2181.7,2037.0,2462.0,72.0,314.4,2297.2,2171.5,2137.5,3436.0,2349.0,2202.7,2433.4
2168.4,2550.4,2633.2,2919.5,2614.8,2332.3,2835.2,673.5,0.0,2662.4,2796.4,2538.5,1944.5,2392.9,2567.0,2422.2,2847.3,601.5,359.1,2682.4,2556.7,2522.8,4779.6,2734.2,2587.9,2818.6
657.3,769.9,613.4,761.2,393.8,464.9,887.3,2241.7,2614.9,0.0,638.1,708.1,847.9,383.8,345.9,641.7,689.0,2169.7,2267.8,1159.6,776.2,139.7,2040.7,513.2,767.2,870.7
891.7,558.5,286.1,123.0,303.5,699.2,560.0,2476.0,2849.3,616.3,0.0,380.8,1082.2,618.2,346.2,764.0,50.8,2404.0,2502.2,1282.0,898.5,476.7,2030.5,185.9,439.9,543.4
568.9,177.7,94.7,380.9,447.2,463.4,296.6,2153.3,2526.6,627.6,257.9,0.0,759.5,267.0,532.2,383.2,308.7,2081.3,2179.5,901.2,517.7,488.0,1649.7,329.6,59.1,280.1
389.4,771.4,854.2,1140.4,835.8,553.2,1056.2,1559.2,1932.5,883.4,1017.4,759.5,0.0,613.9,787.9,643.2,1068.3,1487.2,1585.4,903.4,777.7,743.7,2042.2,955.2,808.9,1039.6
443.1,348.3,456.4,703.2,335.8,250.6,658.3,2027.4,2400.7,383.5,580.2,361.7,633.6,0.0,288.0,427.4,631.0,1955.4,2053.6,945.4,561.9,243.8,1826.4,455.3,411.1,641.8
931.1,539.9,267.5,415.2,297.4,693.2,541.3,2515.5,2888.8,610.3,292.2,362.2,1121.7,629.2,0.0,745.4,343.1,2443.5,2541.6,1263.4,879.9,470.6,2011.9,167.3,421.3,524.8
452.6,215.8,433.8,720.0,629.6,347.0,635.7,2037.0,2410.2,677.2,597.0,339.1,643.2,407.7,581.7,0.0,647.8,1964.9,2063.1,518.0,134.5,537.5,1486.7,749.0,388.5,619.2
942.5,609.4,337.0,72.2,354.3,750.1,610.8,2526.9,2900.1,667.2,50.8,431.7,1133.1,669.0,397.1,814.9,0.0,2454.9,2553.0,1332.9,949.4,527.5,2081.4,236.8,490.8,594.3
1711.1,2093.1,2176.0,2462.2,2157.5,1875.0,2377.9,72.0,589.5,2205.2,2339.2,2081.3,1487.2,1935.7,2109.7,1964.9,2390.0,0.0,242.4,2225.2,2099.5,2065.5,3364.0,2277.0,2130.7,2361.4
1809.3,2191.3,2274.1,2560.4,2255.7,1973.2,2476.1,314.4,347.1,2303.4,2437.4,2179.5,1585.4,2033.9,2207.9,2063.1,2488.2,242.4,0.0,2323.4,2197.6,2163.7,3462.1,2375.2,2228.8,2459.6
662.6,772.6,1127.5,1413.7,1109.0,826.5,1329.4,2217.7,2591.0,1156.7,1290.7,1032.8,823.9,887.2,1061.2,556.8,1341.5,2145.7,2243.9,0.0,422.2,1017.0,2043.4,1228.5,1082.2,1312.9
587.1,350.4,568.3,854.6,764.1,481.6,770.3,2171.5,2544.8,811.7,731.5,473.6,777.7,542.2,716.3,134.5,782.4,2099.5,2197.6,383.5,0.0,672.1,1621.2,883.5,523.0,753.7
517.7,630.2,473.8,621.5,254.1,325.2,747.6,2102.0,2475.3,139.7,498.5,568.5,708.2,244.2,206.3,502.0,549.3,2030.0,2128.2,1020.0,636.5,0.0,1901.0,373.5,627.6,731.1
1851.6,1482.3,1744.4,2030.6,2028.6,1746.1,1946.4,3436.0,4660.3,2076.2,1907.6,1649.7,2042.2,1806.7,1980.8,1486.7,1958.5,3364.0,3462.1,2004.6,1621.2,1936.5,0.0,2148.0,1699.1,1929.8
763.9,372.6,100.2,248.0,314.3,658.3,374.1,2348.2,2721.5,627.1,124.9,194.9,954.4,461.9,357.0,578.1,175.8,2276.2,2374.4,1096.1,712.6,487.5,1844.6,0.0,254.0,357.5
