0.0,2206.4,80.2,741.1,768.5,1284.7,454.5,442.3,149.1,1299.9
2206.4,0.0,2159.6,2820.5,1545.7,2170.9,1751.9,1991.7,2355.5,3379.3
80.2,2159.6,0.0,660.9,721.7,1237.9,407.7,395.5,229.3,1219.7
741.1,2820.5,660.9,0.0,1382.6,1898.8,1068.6,1056.4,566.7,642.1
768.5,1545.7,721.7,1382.6,0.0,733.0,314.0,553.9,917.6,1941.4
1293.0,2179.1,1246.2,1907.1,741.3,0.0,838.5,1078.3,1442.1,2465.8
454.5,1751.9,407.7,1068.6,314.0,830.2,0.0,239.9,603.6,1627.4
442.3,1991.7,395.5,1056.4,553.9,1070.1,239.9,0.0,591.4,1615.2
149.1,2355.5,229.3,566.7,917.6,1433.8,603.6,591.4,0.0,1448.9
1299.9,3379.3,1219.7,642.1,1941.4,2457.6,1627.4,1615.2,1448.9,0.0
