id,UDALERRIA_KODEA/COD_MUNICIPIO,UDALERRIA/MUNICIPIO,EKITALDIA/EJERCICIO,EDUKIONTZI_KODEA/COD_CONTENEDOR,longitude,latitude
1,1,ABADINO,2020,1,531594.64,4779416.18
2,1,ABADINO,2020,2,531628.03,4779457.63
3,1,ABADINO,2020,3,531502.39,4779397.62
4,1,ABADINO,2020,4,531708.59,4779389.34
5,1,ABADINO,2020,5,531634.44,4779297.64
6,1,ABADINO,2020,6,531700.86,4779270.46
7,1,ABADINO,2020,7,531199.29,4776493.8
8,1,ABADINO,2020,8,531735.39,4779510.82
9,1,ABADINO,2020,10,531779.52,4779586.18
10,1,ABADINO,2020,11,531482.8,4779602.73
11,1,ABADINO,2020,12,531533.74,4779572.55
12,1,ABADINO,2020,13,531508.93,4778407.82
13,1,ABADINO,2020,14,531681.07,4777900.45
14,1,ABADINO,2020,15,531947.67,4777904.08
15,1,ABADINO,2020,16,531582.57,4777859.9
16,1,ABADINO,2020,17,531774,4777660.86
17,1,ABADINO,2020,18,531739.74,4777782.94
18,1,ABADINO,2020,20,532113.79,4777086.42
19,1,ABADINO,2020,21,532202.72,4777147.15
20,1,ABADINO,2020,22,531128.19,4777446.86
21,1,ABADINO,2020,23,531766.64,4779800.45
22,1,ABADINO,2020,24,531731.73,4779242.68
23,1,ABADINO,2020,26,531729.33,4779243
24,1,ABADINO,2020,27,531860.75,4779770.91
25,1,ABADINO,2020,28,532068.86,4777223.02
26,1,ABADINO,2020,29,530523.23,4775823.31
27,1,ABADINO,2020,32,532204.25,4777145.42
28,1,ABADINO,2020,33,531420.7,4777961.83
29,1,ABADINO,2020,34,531871.03,4777666.53
30,1,ABADINO,2020,35,531735.95,4779508.53
31,1,ABADINO,2020,36,531532.83,4779532.69
32,1,ABADINO,2020,37,528444.56,4772139.64
33,1,ABADINO,2020,39,531596.18,4779414.46
34,1,ABADINO,2020,40,531627.5,4779455.13
35,1,ABADINO,2020,41,531607.79,4777452.65
36,1,ABADINO,2020,44,531534.16,4779574.84
37,1,ABADINO,2020,45,531963.07,4779520.34
38,1,ABADINO,2020,46,528920.22,4772030.29
39,1,ABADINO,2020,47,531326.69,4779480.67
40,1,ABADINO,2020,48,531455.38,4780108.58
41,1,ABADINO,2020,49,532357.58,4779236.18
42,1,ABADINO,2020,50,531654.15,4779584.52
43,1,ABADINO,2020,51,531425.08,4778051.71
44,1,ABADINO,2020,52,532177.69,4779373.4
45,1,ABADINO,2020,53,532115.77,4777083.82
46,1,ABADINO,2020,54,532070.4,4777221.5
47,1,ABADINO,2020,55,531829.96,4777774.67
48,1,ABADINO,2020,56,531678.58,4777660.2
49,1,ABADINO,2020,57,532255.34,4777204.77
50,1,ABADINO,2020,58,532334.36,4776844.8
51,1,ABADINO,2020,60,532192.78,4777379.43
52,1,ABADINO,2020,61,531993.56,4777399.03
53,1,ABADINO,2020,62,532088.34,4777302.44
54,1,ABADINO,2020,63,531560.02,4778842.42
55,1,ABADINO,2020,65,532343.64,4779439.59
56,1,ABADINO,2020,66,532372.45,4777184.46
57,1,ABADINO,2020,67,530669.33,4775547.89
58,1,ABADINO,2020,68,531550.18,4780189.29
59,1,ABADINO,2020,69,531267.49,4778652.25
60,1,ABADINO,2020,70,531725.31,4779732.35
61,1,ABADINO,2020,71,531895.91,4777220.68
62,1,ABADINO,2020,72,531566.62,4778406.9
63,1,ABADINO,2020,73,531605.87,4779699.11
64,1,ABADINO,2020,74,528704.67,4772193.12
65,1,ABADINO,2020,75,529068.9338,4772045.641
66,1,ABADINO,2020,76,531229.859,4779724.418
67,1,ABADINO,2020,77,528766.0679,4772071.766
68,1,ABADINO,2020,78,528804.4671,4772248.285
69,1,ABADINO,2020,79,531779.4255,4779584.552
